branch,college_tier,cgpa,backlogs,coding_skills,dsa_score,aptitude_score,communication_skills,ml_knowledge,system_design,internships,projects_count,certifications,hackathons,open_source_contributions,extracurriculars,placement_status,salary_package_lpa
CSE,Tier-2,7.08,1,6.2,2.1,70.4,5.7,2.0,5.0,0,2,3,0,0,2,1,14.67
Chemical,Tier-3,6.22,3,5.4,2.2,62.0,7.2,2.9,2.2,0,4,1,0,1,1,0,
Chemical,Tier-2,5.78,3,4.8,4.7,64.8,9.1,3.4,4.3,1,1,1,2,1,1,0,
CSE,Tier-2,7.05,0,6.6,6.2,64.6,7.0,3.0,1.6,3,1,2,1,0,1,1,18.64
CE,Tier-1,8.65,2,5.0,9.0,51.0,7.1,2.8,4.1,2,4,3,1,0,1,1,21.64
CE,Tier-3,6.04,0,5.3,7.1,53.1,6.2,3.0,8.0,0,1,1,1,0,2,0,
ECE,Tier-3,7.21,0,7.2,8.9,57.9,9.1,6.5,5.3,0,3,0,1,0,0,1,18.78
EE,Tier-3,5.9,0,6.5,7.2,53.7,4.4,4.0,3.0,1,4,3,0,1,2,1,16.11
Chemical,Tier-1,6.92,3,5.6,2.8,86.3,8.7,4.8,5.7,1,5,1,0,2,3,1,17.45
CSE,Tier-3,7.25,0,6.6,7.3,61.7,7.5,5.7,4.3,0,1,4,3,0,2,1,17.83
CSE,Tier-3,8.57,0,6.3,4.3,49.6,4.2,5.0,4.8,1,2,2,0,0,3,0,
CSE,Tier-3,8.2,3,7.9,7.4,85.0,6.4,3.9,2.6,2,4,0,0,1,1,1,20.94
ECE,Tier-2,7.28,1,6.5,1.3,59.9,6.5,3.3,2.5,0,1,2,3,0,0,1,11.77
ECE,Tier-3,6.24,1,4.7,2.7,59.2,9.0,3.9,4.1,2,4,2,2,0,0,1,13.11
ME,Tier-3,7.08,1,4.3,7.1,49.2,7.0,4.9,3.5,2,2,0,0,0,1,0,
ME,Tier-3,5.55,0,6.3,5.6,69.8,3.1,1.9,3.3,0,2,1,1,0,0,1,12.99
IT,Tier-3,7.57,3,7.0,3.6,72.7,4.8,1.8,3.4,1,3,1,0,0,0,1,14.65
ECE,Tier-3,6.78,0,6.5,7.5,59.6,8.6,6.9,7.4,3,1,1,2,1,0,1,20.15
ECE,Tier-3,8.32,1,5.6,7.9,55.3,6.3,5.7,3.7,2,3,1,1,0,1,0,
IT,Tier-3,7.51,0,8.5,6.1,80.6,4.2,4.5,4.7,1,2,3,1,2,2,1,17.7
IT,Tier-1,7.55,0,6.3,6.8,81.3,5.2,3.4,5.1,0,3,1,2,1,2,1,16.66
CSE,Tier-1,8.42,0,5.4,6.7,72.4,8.4,5.3,2.6,2,2,2,1,2,2,1,20.03
ECE,Tier-2,6.02,3,6.0,6.3,45.0,6.1,6.4,3.2,1,5,1,1,2,3,0,
IT,Tier-1,6.05,0,5.5,5.3,79.4,4.5,6.7,3.7,2,3,1,0,1,1,1,20.57
CSE,Tier-3,7.87,0,5.3,6.7,72.9,6.3,5.4,4.2,2,2,3,0,0,2,1,20.2
ECE,Tier-3,6.7,0,6.5,5.9,82.7,5.0,4.0,3.2,2,4,2,2,2,2,1,15.17
ME,Tier-1,6.91,0,5.6,4.3,68.9,5.8,8.3,5.7,0,3,0,0,0,0,1,18.56
CSE,Tier-1,8.42,2,6.2,6.1,71.2,5.7,6.2,3.6,1,4,1,3,2,1,1,20.39
CSE,Tier-3,8.33,0,5.1,7.7,68.8,4.3,4.9,2.6,3,3,1,0,0,1,1,19.09
ME,Tier-1,6.84,0,5.4,4.9,60.5,6.5,6.7,3.3,3,3,3,1,0,1,1,18.36
IT,Tier-3,6.76,0,6.2,3.8,58.6,7.9,4.0,3.9,1,4,2,0,2,2,1,16.01
IT,Tier-1,8.45,1,4.3,4.1,77.1,6.1,3.5,5.9,1,3,2,0,1,1,1,16.97
Chemical,Tier-3,6.61,0,7.1,4.8,55.9,7.6,2.9,5.4,2,0,0,1,1,0,1,16.28
CSE,Tier-2,6.64,2,4.1,2.3,45.9,9.5,7.3,3.2,1,1,1,2,0,0,0,
CSE,Tier-1,6.24,1,4.4,5.4,65.0,7.5,4.6,4.6,1,2,2,0,0,2,1,17.42
IT,Tier-3,6.52,1,5.9,6.8,51.8,5.2,4.0,4.0,1,2,1,0,1,0,1,16.74
CE,Tier-3,7.1,0,5.0,1.0,71.4,7.5,2.8,5.0,1,4,3,0,0,3,0,
ECE,Tier-3,5.34,1,6.7,3.7,78.5,5.1,7.6,4.3,0,3,1,1,2,3,1,15.16
CSE,Tier-3,6.24,0,3.1,5.4,75.8,7.0,4.6,1.9,1,2,2,1,1,2,1,13.32
ECE,Tier-2,7.97,0,3.5,6.3,53.8,5.4,3.5,3.5,1,4,1,0,2,1,0,
ME,Tier-2,6.81,0,5.4,7.6,74.2,5.1,2.6,7.1,0,2,2,0,0,0,1,17.16
CSE,Tier-2,8.41,0,7.3,7.6,55.2,6.7,5.4,4.8,1,2,1,1,0,2,1,20.29
Chemical,Tier-2,7.33,1,5.5,4.9,65.7,5.2,4.6,4.3,0,2,1,1,2,2,0,
CSE,Tier-3,9.24,2,7.7,3.6,67.6,6.1,3.0,1.8,2,4,0,0,0,2,1,18.07
Chemical,Tier-3,6.37,0,4.8,9.2,71.4,5.4,4.7,5.2,0,1,2,1,0,3,1,17.56
IT,Tier-3,8.46,0,5.8,6.5,63.5,7.6,2.1,0.8,1,2,2,0,0,2,1,17.68
ME,Tier-1,7.72,0,5.6,6.6,40.4,5.8,2.6,5.9,2,1,0,0,0,0,1,20.84
EE,Tier-3,6.69,2,6.9,4.0,46.6,5.6,2.5,2.7,1,5,0,1,0,0,1,14.78
EE,Tier-2,7.69,0,6.2,1.5,68.3,7.3,0.6,3.9,1,5,3,1,0,1,1,14.61
CSE,Tier-3,6.28,0,6.5,4.6,56.8,5.8,7.1,2.6,3,2,3,0,2,1,0,
ECE,Tier-3,7.28,0,3.9,3.3,54.9,7.0,0.4,6.2,0,5,2,0,0,0,1,12.45
ME,Tier-2,7.64,0,5.6,5.2,78.5,5.9,6.8,3.5,2,3,1,0,0,2,1,19.18
EE,Tier-2,8.56,0,5.8,3.2,49.7,6.6,6.6,3.3,1,3,3,1,0,0,1,18.3
CE,Tier-2,8.33,0,5.8,4.6,59.9,5.1,2.2,8.2,2,1,2,2,0,2,1,18.69
ME,Tier-2,8.76,1,7.9,7.2,54.6,7.3,8.9,2.4,0,3,1,1,0,2,0,
ME,Tier-3,6.82,3,6.5,6.4,58.5,3.3,3.9,3.6,3,1,2,0,2,3,1,20.05
ME,Tier-3,7.8,2,8.0,8.6,76.3,3.8,2.7,5.6,1,4,2,0,2,0,1,20.89
ME,Tier-3,6.33,0,5.3,3.5,53.1,6.1,4.5,3.8,1,2,2,0,0,1,0,
CE,Tier-1,7.63,0,8.0,6.4,80.6,6.7,1.9,3.5,0,1,2,2,1,1,1,17.45
IT,Tier-3,8.02,0,5.4,7.5,66.9,5.1,5.4,1.6,0,0,2,0,0,2,1,16.22
EE,Tier-3,6.68,0,6.9,7.5,72.3,4.1,7.5,4.7,3,4,0,0,0,1,1,20.48
EE,Tier-2,8.11,0,2.9,5.2,63.9,5.4,5.2,5.7,0,4,2,0,0,1,1,14.33
CE,Tier-2,7.28,0,6.1,2.9,54.1,5.9,3.5,6.0,1,0,3,3,1,1,1,16.18
EE,Tier-3,6.9,1,7.2,5.1,61.1,6.2,8.7,3.5,2,2,0,0,1,0,1,19.9
CE,Tier-2,7.4,0,5.0,8.3,84.6,6.8,2.0,7.2,0,2,1,0,1,0,1,15.18
CSE,Tier-3,6.62,0,4.4,6.5,75.3,6.5,4.5,2.7,1,2,0,1,0,3,0,
Chemical,Tier-3,6.87,2,4.1,8.7,83.4,8.2,6.5,1.5,2,0,1,1,0,2,1,18.3
CSE,Tier-3,5.86,0,5.9,7.4,67.1,8.0,3.1,5.5,0,1,1,1,0,1,1,15.19
ECE,Tier-2,7.69,0,6.6,3.7,80.1,6.0,5.2,5.5,0,2,1,1,0,0,1,17.4
CSE,Tier-1,8.63,0,5.6,3.9,64.3,5.8,1.9,2.4,2,1,2,2,0,2,1,19.71
CSE,Tier-2,5.93,0,5.3,5.7,70.1,7.2,1.8,4.2,1,3,1,2,1,0,0,
IT,Tier-3,8.46,1,6.6,3.1,72.1,6.9,0.0,3.9,0,2,4,2,1,1,0,
ME,Tier-2,7.89,1,4.6,7.2,62.8,4.0,5.7,4.7,1,1,2,1,1,2,1,17.21
IT,Tier-1,7.26,0,4.8,8.5,53.0,5.9,6.0,4.3,0,3,3,0,2,1,1,20.58
ECE,Tier-2,6.63,1,4.6,8.1,70.3,7.1,2.8,3.3,2,0,2,2,1,0,1,19.11
ECE,Tier-3,8.2,0,4.3,2.2,64.8,5.4,4.9,8.2,0,3,3,0,0,1,0,
ECE,Tier-2,6.81,0,6.9,8.5,77.0,5.8,5.7,4.9,2,4,2,0,0,2,1,22.18
CE,Tier-2,8.83,0,5.4,5.2,62.2,7.4,4.0,6.2,0,3,0,1,0,2,1,18.31
IT,Tier-3,7.43,0,6.1,4.3,54.9,6.2,4.2,1.4,1,0,2,1,0,2,0,
ME,Tier-3,7.19,2,6.5,5.6,77.3,5.9,3.5,1.1,0,3,1,3,0,0,1,14.92
ECE,Tier-2,7.48,0,7.3,4.6,62.1,5.7,5.7,0.1,0,4,2,1,0,0,1,18.69
Chemical,Tier-1,6.96,1,7.1,5.1,90.5,6.6,4.6,1.1,0,1,2,0,1,0,1,16.07
CSE,Tier-3,7.04,0,5.5,4.7,59.6,7.6,1.7,4.9,1,4,3,0,0,0,1,14.64
ME,Tier-3,8.27,1,5.4,4.0,68.0,5.4,4.6,2.5,3,3,1,2,0,1,0,
ME,Tier-2,6.27,3,9.2,5.9,68.7,4.7,4.4,4.6,1,1,0,0,0,1,1,17.5
CSE,Tier-1,8.54,1,7.7,4.9,69.7,3.6,1.6,2.9,3,2,2,1,1,1,0,
ECE,Tier-3,7.52,1,5.5,4.4,76.1,5.5,2.3,3.2,2,4,0,1,0,2,0,
CSE,Tier-3,6.31,0,6.5,5.4,82.5,3.4,5.9,4.4,2,3,4,2,2,0,0,
IT,Tier-2,7.82,0,6.3,6.9,58.7,3.6,7.9,4.6,0,3,1,1,0,0,0,
CE,Tier-3,7.23,0,7.0,4.1,49.4,5.0,6.2,4.3,2,3,3,0,0,2,1,17.46
IT,Tier-2,7.3,1,6.8,3.2,57.3,5.2,7.3,3.1,1,2,2,0,2,1,0,
CE,Tier-2,8.83,0,7.3,4.5,53.4,8.7,2.1,8.0,0,4,2,2,0,1,1,17.61
CE,Tier-2,7.41,0,5.5,2.3,71.5,9.4,5.9,3.8,1,3,0,3,1,0,1,15.89
EE,Tier-3,7.1,0,6.3,4.8,48.1,6.1,3.2,4.7,2,4,2,0,2,0,1,16.02
Chemical,Tier-3,7.58,0,5.4,6.5,51.0,7.7,5.8,4.7,0,0,0,0,0,1,0,
CSE,Tier-2,8.9,0,6.5,3.5,71.3,7.0,4.4,9.1,2,1,0,0,0,3,1,18.49
ECE,Tier-1,7.84,1,6.7,7.0,48.6,3.9,5.6,2.2,1,1,2,0,1,1,1,22.13
EE,Tier-1,7.03,0,7.0,5.2,43.1,6.6,3.8,5.1,1,1,2,0,0,1,1,17.54
Chemical,Tier-2,6.4,0,5.9,6.4,52.8,7.3,6.0,5.5,1,1,1,1,1,0,1,18.68
Chemical,Tier-1,8.18,0,6.4,3.8,67.8,6.0,7.0,10.0,0,2,1,2,0,3,1,17.83
EE,Tier-3,6.95,0,7.6,7.9,51.8,7.5,3.9,3.8,3,4,0,1,1,0,0,
CSE,Tier-2,6.4,0,6.7,6.2,65.1,10.0,3.8,3.9,2,3,0,1,0,2,1,17.99
CSE,Tier-2,5.97,0,6.7,8.3,67.7,7.2,3.2,2.8,1,4,1,0,2,2,1,19.72
Chemical,Tier-2,7.65,0,4.6,7.8,60.3,8.3,6.2,1.5,0,1,1,1,1,2,0,
ME,Tier-2,6.33,2,8.0,1.6,52.6,4.9,4.0,2.9,1,3,2,0,0,0,0,
CSE,Tier-3,8.15,0,4.3,1.3,76.2,5.9,3.4,1.3,1,1,2,1,1,0,1,12.12
Chemical,Tier-3,6.89,0,3.3,8.6,44.0,9.5,7.4,4.5,1,1,4,0,0,1,0,
CSE,Tier-2,6.3,3,5.1,5.0,61.6,7.1,5.8,3.9,0,4,0,0,0,1,1,12.07
EE,Tier-3,6.32,1,7.4,4.9,56.4,5.0,5.6,3.4,1,2,1,0,0,2,0,
EE,Tier-3,8.56,0,5.4,6.8,86.6,6.5,4.9,6.1,0,1,2,0,0,1,0,
CSE,Tier-3,6.82,2,7.8,7.1,66.5,7.1,4.4,3.5,2,3,3,0,2,0,1,20.11
ECE,Tier-2,6.0,0,4.9,4.6,54.4,2.9,3.0,4.5,2,3,2,1,0,0,1,15.26
CSE,Tier-3,8.09,1,5.4,8.1,50.7,7.3,2.9,3.5,0,3,0,1,0,1,1,17.14
CE,Tier-2,7.14,1,6.6,5.0,96.0,8.6,2.8,2.0,1,2,2,2,0,1,0,
ME,Tier-2,7.51,0,9.0,6.1,69.5,10.0,1.2,6.7,1,0,1,0,0,2,1,17.7
CSE,Tier-2,6.97,0,5.5,5.8,55.1,5.2,5.1,2.4,0,1,1,1,0,1,0,
Chemical,Tier-2,6.88,0,7.8,5.5,92.0,7.3,4.8,4.0,0,3,1,1,0,2,1,18.02
ECE,Tier-2,6.16,1,5.0,6.4,63.0,6.8,2.3,2.8,1,4,0,0,0,0,1,15.36
ECE,Tier-3,6.87,0,5.7,5.4,52.3,7.9,4.1,3.3,1,2,1,0,1,2,0,
CSE,Tier-3,7.62,0,6.2,4.3,72.8,4.1,0.0,5.0,0,5,2,0,0,3,1,12.82
CSE,Tier-2,6.37,0,3.7,4.5,75.5,6.8,5.0,4.1,0,1,2,0,0,1,1,11.94
Chemical,Tier-2,6.29,0,6.9,5.9,61.4,6.7,3.9,5.4,2,4,2,1,0,3,1,18.88
ECE,Tier-1,7.42,0,6.7,3.6,67.5,3.9,5.5,2.7,2,1,0,1,0,2,0,
ME,Tier-3,7.27,0,6.5,5.0,74.7,6.9,7.0,2.2,1,2,1,1,2,1,0,
IT,Tier-2,7.36,1,6.7,8.1,68.7,6.6,0.8,4.4,1,4,1,0,0,2,1,16.34
EE,Tier-3,5.88,0,5.2,6.0,59.7,7.4,9.1,4.8,0,2,1,1,0,1,1,16.1
ECE,Tier-3,6.76,0,4.8,2.7,53.1,5.1,8.7,5.9,0,1,0,1,0,1,0,
IT,Tier-2,6.6,1,7.4,4.4,36.5,4.1,8.0,6.4,1,3,3,0,1,2,0,
IT,Tier-3,8.46,0,6.7,6.6,77.6,5.6,6.1,5.8,3,4,3,1,0,1,1,22.55
CSE,Tier-1,6.57,2,6.5,7.5,53.2,6.7,3.4,7.2,3,3,0,0,2,0,1,22.13
EE,Tier-1,6.89,1,6.7,9.0,73.1,6.6,1.1,5.4,1,3,2,0,0,2,1,17.83
Chemical,Tier-2,7.32,0,5.8,5.5,45.7,5.6,2.6,5.3,0,2,1,1,0,3,1,16.01
ME,Tier-2,7.74,0,6.8,1.9,67.5,6.7,5.1,5.1,1,3,2,0,0,1,0,
EE,Tier-2,6.0,0,5.6,6.5,74.1,7.2,5.4,0.5,1,1,2,3,0,1,1,15.15
Chemical,Tier-2,6.22,1,2.5,10.0,56.4,8.0,6.3,6.1,1,2,1,2,2,0,1,20.26
EE,Tier-3,6.49,0,4.8,8.5,62.8,8.9,7.3,0.0,3,5,1,0,0,0,1,18.9
CSE,Tier-3,6.49,1,6.5,7.2,59.5,7.9,6.4,4.7,1,2,3,2,0,0,1,17.01
CSE,Tier-3,7.09,0,6.0,5.4,63.6,5.0,1.8,5.6,0,2,2,0,0,0,0,
CE,Tier-2,8.1,0,4.9,1.0,54.2,5.6,3.2,4.4,0,3,1,2,0,1,0,
ECE,Tier-2,6.54,0,2.2,6.9,67.6,5.2,2.3,5.3,2,4,4,1,0,2,1,18.94
Chemical,Tier-3,7.18,0,4.0,4.9,79.3,5.0,6.2,1.1,1,3,1,2,1,2,1,12.83
ME,Tier-2,7.35,1,9.0,7.4,75.4,2.5,2.5,5.8,2,0,3,0,0,1,1,20.9
ME,Tier-3,7.7,0,4.6,6.3,73.4,6.9,4.7,6.8,0,1,1,0,0,0,0,
EE,Tier-3,8.18,0,7.0,6.1,62.6,4.7,2.0,4.9,1,5,2,0,0,1,1,17.76
CE,Tier-2,7.42,0,6.3,6.6,64.9,4.6,3.3,4.2,1,4,1,3,2,2,1,16.63
ECE,Tier-2,5.92,2,5.7,4.5,71.0,8.6,1.6,3.7,0,2,1,1,0,2,1,12.03
CSE,Tier-3,7.11,1,5.1,5.9,49.8,5.5,4.2,3.8,1,2,1,0,0,2,0,
CE,Tier-2,5.74,1,5.9,6.5,62.3,7.1,5.6,4.3,0,2,1,0,0,1,0,
IT,Tier-2,6.56,0,4.7,5.7,28.5,5.8,8.2,8.0,3,2,1,0,1,1,1,19.72
EE,Tier-1,8.5,1,4.8,4.3,62.0,5.7,4.2,1.7,0,1,2,1,0,2,1,15.66
ECE,Tier-3,6.53,0,2.1,4.9,56.4,6.4,5.2,3.9,1,1,1,0,0,2,0,
CSE,Tier-2,6.37,1,5.6,4.7,73.0,4.7,7.4,1.5,1,4,2,0,0,1,0,
IT,Tier-3,7.1,1,9.1,2.3,51.6,6.9,2.6,2.4,0,2,2,1,0,0,0,
Chemical,Tier-1,7.33,1,6.9,5.6,71.5,6.8,2.4,4.3,0,2,0,0,0,2,0,
ECE,Tier-3,6.23,1,5.6,6.4,70.2,7.6,5.4,3.3,1,3,3,2,2,0,1,13.79
EE,Tier-1,7.22,3,7.6,5.2,68.0,5.9,4.1,4.9,0,1,1,0,0,1,1,17.55
ME,Tier-3,6.17,0,4.9,5.4,64.2,4.6,6.9,4.9,0,0,1,2,2,2,1,13.74
ME,Tier-2,6.66,1,6.9,8.5,86.1,6.2,6.4,5.6,1,2,3,2,0,3,1,18.69
IT,Tier-1,7.34,1,7.4,8.1,69.8,7.4,4.6,4.1,0,1,1,3,0,2,1,22.03
CSE,Tier-2,6.85,0,3.7,7.4,48.4,3.7,3.5,6.1,0,2,3,0,0,2,0,
CE,Tier-1,8.31,3,6.0,6.1,71.5,6.0,6.1,3.5,1,2,0,1,2,0,1,18.08
CSE,Tier-2,9.37,1,9.8,4.8,73.7,5.3,3.7,1.7,1,2,3,0,2,2,0,
ECE,Tier-3,7.57,0,6.1,6.8,62.3,7.8,2.3,3.6,1,2,1,1,0,0,1,14.95
EE,Tier-3,6.51,1,7.5,3.9,55.6,6.7,3.7,3.8,1,3,1,1,0,3,1,12.93
CSE,Tier-2,7.84,1,5.9,4.4,64.2,4.5,10.0,4.8,0,1,0,1,0,2,0,
CE,Tier-2,8.28,0,6.8,5.1,62.2,7.5,4.8,4.1,3,0,1,1,1,0,1,20.1
ECE,Tier-2,8.34,0,7.4,3.4,58.3,8.1,6.2,2.2,1,1,2,1,1,1,1,17.85
EE,Tier-2,6.54,0,5.1,6.9,72.1,4.9,2.5,6.3,1,2,2,0,0,2,1,15.68
CSE,Tier-2,7.02,0,8.7,6.1,73.9,3.5,6.5,2.1,1,5,0,0,0,2,1,18.36
EE,Tier-3,6.64,0,5.6,5.9,50.0,5.8,6.0,5.9,2,2,0,0,0,1,1,19.78
EE,Tier-3,8.32,0,7.0,4.4,63.7,4.1,4.4,4.3,3,4,2,0,0,0,1,17.11
Chemical,Tier-3,6.19,0,4.1,3.8,65.5,6.6,0.7,5.6,1,3,0,1,0,1,1,12.31
Chemical,Tier-2,5.96,0,6.4,4.3,75.8,4.6,4.5,1.5,1,3,0,0,0,1,1,13.47
ECE,Tier-3,7.19,3,7.9,4.3,89.2,7.3,2.9,1.5,0,1,2,3,1,1,1,13.07
CSE,Tier-3,8.59,0,4.1,1.0,51.4,8.1,2.1,3.5,2,4,3,3,0,2,1,13.75
EE,Tier-3,8.08,0,3.8,5.2,47.2,9.1,4.4,1.0,0,1,1,0,0,1,0,
CE,Tier-1,8.96,0,4.0,3.5,53.4,7.3,4.2,3.4,0,4,2,0,1,1,1,16.09
CSE,Tier-1,7.38,1,6.6,6.1,48.3,2.4,6.4,5.1,1,2,0,1,0,1,1,21.19
CSE,Tier-3,7.46,0,4.9,5.9,60.5,5.3,4.6,8.4,1,1,1,2,1,0,1,16.98
CE,Tier-2,6.69,1,4.6,4.4,75.9,6.7,2.9,0.5,0,4,1,1,0,0,1,10.6
Chemical,Tier-3,7.01,1,6.1,7.1,44.5,5.2,0.0,3.2,1,1,4,1,0,2,1,15.41
Chemical,Tier-2,7.04,0,1.8,7.6,61.9,4.5,5.0,4.0,0,3,2,0,0,3,1,13.93
CSE,Tier-2,8.24,0,6.4,7.0,67.6,7.2,6.7,4.6,1,1,0,0,0,0,1,20.88
ECE,Tier-2,8.04,0,9.1,6.4,70.8,6.6,5.9,5.4,1,1,3,0,0,0,1,20.94
CSE,Tier-3,6.35,2,5.6,2.1,77.7,5.7,0.9,2.2,1,3,3,0,0,1,1,12.15
ME,Tier-1,7.29,1,7.5,1.8,72.4,6.9,4.8,7.8,0,2,2,0,2,3,1,16.45
IT,Tier-3,5.4,0,4.7,4.1,68.6,5.9,4.2,6.1,1,1,3,0,0,1,1,12.47
IT,Tier-3,8.03,0,6.1,6.6,75.1,7.4,4.2,3.3,2,3,2,1,0,1,0,
ME,Tier-3,7.68,0,5.2,4.9,67.4,7.6,2.5,4.3,1,4,3,1,0,1,1,13.01
CSE,Tier-3,7.04,1,5.7,6.3,82.0,4.9,0.0,5.1,3,1,0,0,2,2,0,
ECE,Tier-3,7.64,0,4.1,3.8,57.1,5.6,6.2,4.2,2,1,1,0,1,1,1,19.13
Chemical,Tier-2,6.28,1,4.3,2.5,54.8,6.1,5.2,5.0,3,1,3,1,1,2,0,
CSE,Tier-2,5.92,0,4.1,8.0,52.7,7.4,7.1,5.4,1,1,2,1,1,2,1,19.33
ECE,Tier-2,7.68,0,7.8,5.1,68.5,5.8,3.7,4.3,0,3,1,2,0,0,1,14.38
IT,Tier-2,7.99,0,6.6,5.7,66.6,5.3,5.2,6.8,0,3,2,0,0,2,1,17.1
EE,Tier-1,6.49,0,5.1,4.3,54.6,7.3,4.6,5.0,1,2,3,0,0,0,1,18.86
Chemical,Tier-2,6.78,1,7.1,5.8,57.0,5.3,2.1,1.8,1,1,2,1,0,2,0,
ECE,Tier-2,7.0,0,6.2,4.6,77.4,4.6,4.4,4.8,1,2,3,1,0,1,1,15.64
ME,Tier-2,7.31,0,5.4,6.1,76.9,6.0,6.2,2.6,1,5,1,1,1,0,1,16.51
ME,Tier-2,7.25,0,6.0,7.3,36.2,8.6,4.4,5.7,1,4,3,0,0,1,1,18.4
Chemical,Tier-2,6.04,0,5.7,4.7,69.2,8.4,3.9,2.6,0,1,1,0,0,1,0,
IT,Tier-2,7.4,0,6.0,4.6,40.3,5.7,6.4,3.3,0,2,3,1,0,2,1,13.76
IT,Tier-3,6.48,2,4.3,6.8,56.0,6.6,3.4,4.7,1,0,3,1,0,1,0,
CSE,Tier-2,8.31,1,6.8,7.9,77.7,5.0,3.5,2.1,1,2,1,2,2,1,0,
IT,Tier-3,8.03,0,6.3,6.2,73.7,5.6,2.7,4.9,0,2,0,0,0,1,1,16.76
ME,Tier-2,5.99,0,8.1,5.8,54.4,6.2,2.4,6.6,2,3,1,2,0,0,1,18.85
CSE,Tier-2,8.54,0,10.0,4.7,70.6,2.9,4.1,7.3,3,2,0,1,1,1,1,20.78
CSE,Tier-2,7.79,0,7.4,4.6,56.2,5.7,2.8,3.3,1,5,0,0,0,1,1,16.68
EE,Tier-2,8.53,0,6.5,5.8,50.4,6.3,6.9,3.1,1,2,1,1,1,2,1,18.96
ECE,Tier-2,5.96,0,6.8,4.5,60.6,6.5,7.1,3.5,0,2,3,1,0,1,1,15.85
IT,Tier-3,6.85,0,3.5,6.3,68.2,6.9,3.4,4.4,1,1,3,2,0,2,1,15.36
EE,Tier-3,7.67,0,5.5,6.1,67.2,7.4,7.1,5.8,1,3,2,0,0,0,1,18.26
CSE,Tier-1,8.04,1,4.5,5.7,51.8,6.5,6.2,2.5,2,3,0,0,1,1,1,20.44
EE,Tier-2,7.25,1,5.8,6.0,59.8,4.0,4.7,3.8,0,2,1,0,0,1,1,15.7
CSE,Tier-3,7.48,1,4.4,6.3,40.0,8.6,5.1,3.7,2,4,0,0,2,2,1,18.5
ME,Tier-2,7.99,0,4.6,9.7,67.9,4.6,7.8,0.8,3,3,2,0,0,0,1,21.44
EE,Tier-2,7.46,0,6.0,5.5,52.6,5.5,7.3,5.2,3,4,0,0,0,1,1,20.72
IT,Tier-3,7.61,2,7.0,3.4,65.6,8.0,0.2,7.8,1,3,2,0,0,2,1,13.43
ME,Tier-1,7.2,0,7.9,6.7,78.6,4.2,7.0,4.2,1,2,1,2,0,1,1,22.62
IT,Tier-3,7.93,0,10.0,4.7,73.0,4.1,2.1,3.6,1,5,2,0,0,0,1,15.4
IT,Tier-2,7.65,0,7.0,6.1,69.0,4.9,5.1,4.9,0,5,1,2,1,2,1,18.04
ME,Tier-2,6.51,0,8.2,5.8,47.7,8.7,6.3,0.9,1,5,2,0,0,2,0,
ME,Tier-2,8.62,0,4.0,2.9,59.8,6.6,7.9,5.5,1,3,1,0,0,2,0,
EE,Tier-1,7.5,0,6.1,6.2,51.1,9.2,2.9,4.0,2,1,3,3,0,0,1,18.56
CSE,Tier-3,7.63,3,7.6,6.5,59.8,5.2,2.8,1.8,1,2,0,0,0,1,0,
IT,Tier-1,8.0,0,6.8,2.0,40.2,3.4,5.1,5.1,0,5,0,2,2,0,1,17.5
IT,Tier-3,7.04,0,5.4,4.7,51.1,5.1,5.3,0.0,0,3,0,0,0,0,0,
CSE,Tier-2,7.47,0,6.0,5.8,51.1,7.2,4.0,4.3,0,2,2,3,2,1,1,17.47
Chemical,Tier-2,7.17,0,7.2,3.6,63.5,4.9,6.0,6.0,1,4,2,1,1,2,1,14.12
CSE,Tier-3,7.75,0,4.0,6.1,84.0,6.8,3.4,3.5,2,0,1,2,0,1,1,16.46
Chemical,Tier-3,4.94,0,7.8,4.8,72.9,5.0,2.8,2.7,2,2,2,1,0,0,0,
ECE,Tier-3,8.59,2,5.9,2.3,52.2,6.5,5.1,6.2,2,1,2,2,0,2,0,
IT,Tier-3,7.3,0,6.6,8.9,69.3,6.0,6.1,1.4,2,2,0,3,1,1,1,16.93
ME,Tier-3,6.77,1,6.8,3.7,51.3,6.4,6.7,4.8,0,2,1,2,1,1,1,15.31
EE,Tier-3,6.53,1,6.7,4.3,90.9,5.5,4.5,6.1,0,4,1,1,0,1,0,
CSE,Tier-3,7.54,0,5.7,7.7,61.1,8.2,8.4,2.9,2,3,0,3,2,1,1,19.0
ECE,Tier-3,8.24,0,7.6,6.4,58.7,7.4,0.5,3.5,0,3,1,0,0,1,1,15.18
CSE,Tier-1,9.18,0,6.5,4.7,56.1,3.5,8.2,0.6,3,1,2,0,0,3,1,22.12
IT,Tier-3,5.89,0,7.5,7.6,57.6,6.7,5.6,6.3,0,3,1,0,0,0,0,
ECE,Tier-2,9.17,3,4.2,3.8,72.9,8.4,5.6,6.0,1,3,0,0,0,0,1,18.16
EE,Tier-2,8.1,0,5.8,7.6,67.7,7.4,1.7,3.8,0,2,0,0,1,2,1,16.64
IT,Tier-3,6.07,1,7.3,7.8,59.3,6.1,6.5,6.9,1,3,1,0,0,1,1,20.34
Chemical,Tier-2,6.86,1,7.9,4.8,90.6,7.9,7.3,2.4,1,2,2,2,0,1,1,16.75
CSE,Tier-3,7.51,0,6.7,5.2,52.8,6.5,3.9,3.7,2,3,0,1,0,1,0,
